timestamp,sensor1,insects
2025-04-28T16:38:26.555013+00:00,22.43,5
2025-04-28T16:38:26.555037+00:00,23.35,1
2025-04-28T16:38:26.555042+00:00,25.67,2
2025-04-28T16:38:26.555047+00:00,25.0,4
2025-04-28T16:38:26.555051+00:00,25.82,2
2025-04-28T16:38:26.555054+00:00,27.37,0
2025-04-28T16:38:26.555058+00:00,20.03,4
2025-04-28T16:38:26.555061+00:00,26.59,5
2025-04-28T16:38:26.555064+00:00,26.51,4
2025-04-28T16:38:26.555068+00:00,23.77,1
2025-04-28T16:38:26.555071+00:00,22.89,0
2025-04-28T16:38:26.555074+00:00,28.35,0
2025-04-28T16:38:26.555077+00:00,25.94,0
2025-04-28T16:38:26.555080+00:00,24.46,4
2025-04-28T16:38:26.555084+00:00,21.04,1
