timestamp,sensor1,insects
2025-04-28T16:35:47.236991+00:00,21.11,3
2025-04-28T16:35:47.237020+00:00,27.93,5
2025-04-28T16:35:47.237029+00:00,21.11,4
2025-04-28T16:35:47.237037+00:00,28.65,3
2025-04-28T16:35:47.237043+00:00,22.83,1
2025-04-28T16:35:47.237050+00:00,23.57,0
2025-04-28T16:35:47.237057+00:00,21.43,3
2025-04-28T16:35:47.237063+00:00,20.45,4
2025-04-28T16:35:47.237070+00:00,24.39,1
2025-04-28T16:35:47.237076+00:00,27.63,1
2025-04-28T16:35:47.237082+00:00,26.47,5
2025-04-28T16:35:47.237089+00:00,29.6,3
2025-04-28T16:35:47.237095+00:00,29.67,0
2025-04-28T16:35:47.237102+00:00,22.25,5
2025-04-28T16:35:47.237117+00:00,21.41,3
2025-04-28T16:35:47.237125+00:00,25.81,3
