timestamp,sensor1,insects
2025-04-28T18:24:15.802382+00:00,24.39,2
2025-04-28T18:24:15.802416+00:00,20.14,5
2025-04-28T18:24:15.802426+00:00,29.95,2
2025-04-28T18:24:15.802433+00:00,23.37,1
2025-04-28T18:24:15.802439+00:00,20.69,3
2025-04-28T18:24:15.802445+00:00,20.47,0
2025-04-28T18:24:15.802452+00:00,29.51,0
2025-04-28T18:24:15.802458+00:00,27.91,4
2025-04-28T18:24:15.802464+00:00,20.95,1
2025-04-28T18:24:15.802470+00:00,20.94,2
2025-04-28T18:24:15.802475+00:00,28.74,1
2025-04-28T18:24:15.802481+00:00,20.84,1
2025-04-28T18:24:15.802487+00:00,24.54,0
2025-04-28T18:24:15.802494+00:00,21.78,1
2025-04-28T18:24:15.802500+00:00,20.74,5
2025-04-28T18:24:15.802506+00:00,20.72,3
2025-04-28T18:24:15.802511+00:00,28.76,4
2025-04-28T18:24:15.802517+00:00,22.28,1
2025-04-28T18:24:15.802523+00:00,22.21,3
