timestamp,sensor1,insects
2025-04-28T18:39:15.537084+00:00,20.44,2
2025-04-28T18:39:15.537113+00:00,22.86,3
2025-04-28T18:39:15.537123+00:00,28.47,3
2025-04-28T18:39:15.537130+00:00,26.46,5
2025-04-28T18:39:15.537137+00:00,21.43,5
2025-04-28T18:39:15.537143+00:00,20.4,1
2025-04-28T18:39:15.537149+00:00,22.32,4
2025-04-28T18:39:15.537155+00:00,23.89,0
2025-04-28T18:39:15.537162+00:00,25.02,3
2025-04-28T18:39:15.537168+00:00,29.42,2
2025-04-28T18:39:15.537174+00:00,29.65,3
2025-04-28T18:39:15.537180+00:00,28.79,0
2025-04-28T18:39:15.537186+00:00,29.4,5
2025-04-28T18:39:15.537191+00:00,20.81,2
2025-04-28T18:39:15.537197+00:00,29.14,2
2025-04-28T18:39:15.537203+00:00,25.51,5
