timestamp,sensor1,insects
2025-04-28T18:38:51.425103+00:00,21.51,4
2025-04-28T18:38:51.425135+00:00,21.13,1
2025-04-28T18:38:51.425143+00:00,21.32,2
2025-04-28T18:38:51.425151+00:00,27.38,4
2025-04-28T18:38:51.425158+00:00,24.9,1
2025-04-28T18:38:51.425164+00:00,29.79,5
2025-04-28T18:38:51.425171+00:00,22.65,4
2025-04-28T18:38:51.425177+00:00,28.97,5
2025-04-28T18:38:51.425183+00:00,29.91,0
2025-04-28T18:38:51.425189+00:00,23.49,3
2025-04-28T18:38:51.425195+00:00,25.0,1
2025-04-28T18:38:51.425203+00:00,29.96,1
2025-04-28T18:38:51.425210+00:00,23.7,0
2025-04-28T18:38:51.425215+00:00,24.4,3
2025-04-28T18:38:51.425222+00:00,26.61,0
2025-04-28T18:38:51.425228+00:00,27.09,2
2025-04-28T18:38:51.425233+00:00,28.12,3
