timestamp,sensor1,insects
2025-04-28T18:39:19.555819+00:00,28.59,0
2025-04-28T18:39:19.555849+00:00,29.42,4
2025-04-28T18:39:19.555858+00:00,28.19,3
2025-04-28T18:39:19.555865+00:00,22.41,5
2025-04-28T18:39:19.555871+00:00,24.79,1
2025-04-28T18:39:19.555877+00:00,20.89,1
2025-04-28T18:39:19.555883+00:00,20.12,2
2025-04-28T18:39:19.555889+00:00,21.62,4
2025-04-28T18:39:19.555895+00:00,22.03,5
2025-04-28T18:39:19.555900+00:00,25.31,1
2025-04-28T18:39:19.555906+00:00,27.54,0
2025-04-28T18:39:19.555911+00:00,29.44,5
2025-04-28T18:39:19.555925+00:00,24.12,1
2025-04-28T18:39:19.555931+00:00,28.83,5
2025-04-28T18:39:19.555937+00:00,26.01,1
2025-04-28T18:39:19.555944+00:00,23.18,5
