timestamp,sensor1,insects
2025-04-28T18:23:47.642478+00:00,25.43,0
2025-04-28T18:23:47.642514+00:00,20.99,2
2025-04-28T18:23:47.642524+00:00,21.66,1
2025-04-28T18:23:47.642531+00:00,24.88,5
2025-04-28T18:23:47.642538+00:00,23.96,2
2025-04-28T18:23:47.642544+00:00,25.46,1
2025-04-28T18:23:47.642550+00:00,24.65,0
2025-04-28T18:23:47.642556+00:00,25.46,3
2025-04-28T18:23:47.642562+00:00,21.92,5
2025-04-28T18:23:47.642568+00:00,20.25,4
2025-04-28T18:23:47.642575+00:00,21.26,1
2025-04-28T18:23:47.642584+00:00,27.02,0
2025-04-28T18:23:47.642594+00:00,29.38,5
2025-04-28T18:23:47.642603+00:00,22.67,5
2025-04-28T18:23:47.642613+00:00,27.86,1
