timestamp,sensor1,insects
2025-04-28T16:38:18.513701+00:00,28.83,0
2025-04-28T16:38:18.513732+00:00,28.57,5
2025-04-28T16:38:18.513742+00:00,26.1,0
2025-04-28T16:38:18.513750+00:00,24.49,3
2025-04-28T16:38:18.513758+00:00,22.65,5
2025-04-28T16:38:18.513765+00:00,26.31,0
2025-04-28T16:38:18.513773+00:00,25.3,4
2025-04-28T16:38:18.513780+00:00,28.8,0
2025-04-28T16:38:18.513786+00:00,28.56,2
2025-04-28T16:38:18.513793+00:00,28.08,3
2025-04-28T16:38:18.513799+00:00,29.97,5
2025-04-28T16:38:18.513806+00:00,25.89,1
2025-04-28T16:38:18.513813+00:00,22.79,2
2025-04-28T16:38:18.513819+00:00,23.3,2
