timestamp,sensor1,insects
2025-04-28T16:35:55.276623+00:00,27.0,0
2025-04-28T16:35:55.276651+00:00,29.8,4
2025-04-28T16:35:55.276661+00:00,21.89,2
2025-04-28T16:35:55.276669+00:00,20.41,4
2025-04-28T16:35:55.276676+00:00,26.09,3
2025-04-28T16:35:55.276682+00:00,23.99,4
2025-04-28T16:35:55.276689+00:00,27.64,4
2025-04-28T16:35:55.276695+00:00,21.07,0
2025-04-28T16:35:55.276701+00:00,26.52,1
2025-04-28T16:35:55.276707+00:00,28.83,1
2025-04-28T16:35:55.276713+00:00,26.07,2
2025-04-28T16:35:55.276719+00:00,29.23,1
