timestamp,sensor1,insects
2025-05-07T14:23:39.877080+00:00,24.99,2
2025-05-07T14:23:39.877110+00:00,22.25,3
2025-05-07T14:23:39.877120+00:00,24.52,5
2025-05-07T14:23:39.877127+00:00,23.92,5
2025-05-07T14:23:39.877134+00:00,23.07,1
2025-05-07T14:23:39.877140+00:00,29.16,3
2025-05-07T14:23:39.877147+00:00,24.03,0
2025-05-07T14:23:39.877153+00:00,27.92,1
2025-05-07T14:23:39.877160+00:00,22.16,4
2025-05-07T14:23:39.877166+00:00,24.22,4
2025-05-07T14:23:39.877173+00:00,21.02,4
2025-05-07T14:23:39.877180+00:00,25.24,4
2025-05-07T14:23:39.877186+00:00,27.81,2
2025-05-07T14:23:39.877192+00:00,20.04,1
2025-05-07T14:23:39.877198+00:00,21.3,3
2025-05-07T14:23:39.877204+00:00,25.84,2
2025-05-07T14:23:39.877210+00:00,28.51,0
2025-05-07T14:23:39.877216+00:00,21.84,5
2025-05-07T14:23:39.877222+00:00,29.76,2
2025-05-07T14:23:39.877228+00:00,26.32,1
