timestamp,sensor1,insects
2025-05-07T12:44:18.682039+00:00,24.39,4
2025-05-07T12:44:18.682065+00:00,24.8,0
2025-05-07T12:44:18.682075+00:00,24.65,3
2025-05-07T12:44:18.682083+00:00,26.54,1
2025-05-07T12:44:18.682090+00:00,28.5,1
2025-05-07T12:44:18.682097+00:00,29.65,4
2025-05-07T12:44:18.682103+00:00,20.53,0
2025-05-07T12:44:18.682110+00:00,28.51,3
2025-05-07T12:44:18.682116+00:00,22.64,5
2025-05-07T12:44:18.682122+00:00,24.91,3
2025-05-07T12:44:18.682128+00:00,27.04,3
2025-05-07T12:44:18.682135+00:00,24.37,5
2025-05-07T12:44:18.682141+00:00,22.8,3
2025-05-07T12:44:18.682147+00:00,22.55,0
2025-05-07T12:44:18.682154+00:00,29.35,5
2025-05-07T12:44:18.682160+00:00,23.12,0
