timestamp,sensor1,insects
2025-05-07T14:37:14.075241+00:00,20.48,1
2025-05-07T14:37:14.075273+00:00,22.74,1
2025-05-07T14:37:14.075283+00:00,22.25,0
2025-05-07T14:37:14.075291+00:00,24.83,4
2025-05-07T14:37:14.075298+00:00,21.31,0
2025-05-07T14:37:14.075305+00:00,26.3,0
2025-05-07T14:37:14.075311+00:00,25.94,2
2025-05-07T14:37:14.075318+00:00,24.71,3
2025-05-07T14:37:14.075324+00:00,26.86,4
2025-05-07T14:37:14.075330+00:00,21.0,2
2025-05-07T14:37:14.075336+00:00,25.18,5
2025-05-07T14:37:14.075342+00:00,20.76,0
2025-05-07T14:37:14.075349+00:00,27.56,2
2025-05-07T14:37:14.075355+00:00,22.71,4
2025-05-07T14:37:14.075361+00:00,21.96,2
2025-05-07T14:37:14.075367+00:00,20.56,3
